line_id,timestamp,node,label__alert_tag,is_anomaly,is_hardcase,label__level,position_ratio,template_id,message,matched_burst_node,matched_burst_template_id,matched_burst_bucket5,match_stage,pool_size_at_selection,rank_in_pick
173769386,1148493582,an1,-,False,False,INFO,0.822724,340,"Inappropriate ioctl for device (25) in search_env_and_open, MPIEXEC_STDIN_PORT=40531",an1,8,3828311,1,7,1
172267250,1148335261,an1,-,False,False,INFO,0.815612,14,session closed for user root,an1,9,3827787,1,3,1
103122766,1143847471,an1001,-,False,False,INFO,0.488242,22,Got trap from peer on fd 13,an1001,1,3812833,1,6,1
122079620,1144863911,an101,-,False,False,INFO,0.577995,341,"Inappropriate ioctl for device (25) in open_demux, open_demux: connect 10.100.19.127:53177",an101,8,3816212,1,12,1
122079515,1144863905,an101,-,False,False,INFO,0.577995,341,"Inappropriate ioctl for device (25) in open_demux, open_demux: connect 10.100.19.127:53177",an101,8,3816213,1,12,1
154567983,1146955842,an1010,-,False,False,INFO,0.731814,345,"Device: /dev/sda, Temperature changed 2 Celsius to 26 Celsius since last report",an1010,1,3823186,1,2,1
51414847,1137679546,an1011,-,False,False,INFO,0.243427,18,session opened for user root by (uid=0),an1011,1,3792265,1,11,1
50100231,1137493076,an1011,-,False,False,INFO,0.237203,28,Aborting journal on device sda6.,an1011,2,3791642,1,22,1
50100228,1137493071,an1011,-,False,False,INFO,0.237203,82,/var/log/maillog: Read-only file system,an1011,2,3791643,1,22,1
50967959,1137585781,an1011,-,False,False,INFO,0.241312,14,session closed for user root,an1011,2,3791952,1,14,1
51109056,1137611697,an1011,-,False,False,INFO,0.24198,40,last message repeated 69 times,an1011,2,3792031,1,13,1
51151785,1137612435,an1011,-,False,False,INFO,0.242182,13,Accepted publickey for root from ::ffff:10.100.0.250 port 36612 ssh2,an1011,2,3792033,1,13,1
51109057,1137611697,an1011,-,False,False,INFO,0.24198,18,session opened for user root by (uid=0),an1011,2,3792035,1,13,1
51151784,1137612435,an1011,-,False,False,INFO,0.242182,18,session opened for user root by (uid=0),an1011,2,3792037,1,13,1
51364047,1137672182,an1011,-,False,False,INFO,0.243187,56,"k0JB32oj002368: SYSERR(root): collect: Cannot write ./dfk0JB32oj002368 (bfcommit, uid=51, gid=51): Read-only file system",an1011,2,3792240,1,4,1
51429055,1137681488,an1011,-,False,False,INFO,0.243495,26,can't open /var/lib/ntp/drift.TEMP: Read-only file system,an1011,2,3792265,1,11,1
51468861,1137688265,an1011,-,False,False,INFO,0.243683,13,Accepted publickey for root from ::ffff:10.100.6.250 port 55453 ssh2,an1011,2,3792295,1,9,1
57111246,1138753704,an1012,-,False,False,INFO,0.270397,12,THH(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/hob_comm.c[1597]: XHH_hob_process_local_mad: Device in FATAL state,an1012,1,3795845,1,124,1
201651352,1151360712,an1014,-,False,False,INFO,0.954733,12,THH(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/hob_comm.c[1597]: XHH_hob_process_local_mad: Device in FATAL state,an1014,1,3837867,1,1441,1
122080584,1144863917,an102,-,False,False,INFO,0.578,13,Accepted publickey for root from ::ffff:10.100.19.127 port 53699 ssh2,an102,8,3816212,1,11,1
122079625,1144863911,an102,-,False,False,INFO,0.577995,340,"Inappropriate ioctl for device (25) in search_env_and_open, MPIEXEC_STDOUT_PORT=53177",an102,8,3816213,1,11,1
122079524,1144863905,an103,-,False,False,INFO,0.577995,341,"Inappropriate ioctl for device (25) in open_demux, open_demux: connect 10.100.19.127:53177",an103,8,3816212,1,10,1
122079527,1144863905,an104,-,False,False,INFO,0.577995,40,last message repeated 2 times,an104,8,3816212,1,11,1
122079531,1144863905,an105,-,False,False,INFO,0.577995,40,last message repeated 2 times,an105,8,3816212,1,12,1
122079190,1144863899,an106,-,False,False,INFO,0.577993,341,"Inappropriate ioctl for device (25) in open_demux, open_demux: connect 10.100.19.127:53177",an106,8,3816212,1,11,1
37453452,1136834782,an107,-,False,False,INFO,0.177326,12,THH(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/hob_comm.c[1597]: XHH_hob_process_local_mad: Device in FATAL state,an107,1,3789441,1,687,1
209201377,1152312211,an108,-,False,False,INFO,0.99048,345,"Device: /dev/sda, Temperature changed -3 Celsius to 20 Celsius since last report",an108,9,3841037,1,5,1
122079195,1144863899,an109,-,False,False,INFO,0.577993,341,"Inappropriate ioctl for device (25) in open_demux, open_demux: connect 10.100.19.127:53177",an109,8,3816212,1,10,1
122080596,1144863917,an111,-,False,False,INFO,0.578,13,Accepted publickey for root from ::ffff:10.100.19.127 port 53686 ssh2,an111,8,3816212,1,11,1
