line_id,timestamp,node,label__alert_tag,is_anomaly,is_hardcase,label__level,position_ratio,template_id,message,matched_burst_node,matched_burst_template_id,matched_burst_bucket5,match_stage,pool_size_at_selection,rank_in_pick
173769386,1148493582,an1,-,False,False,INFO,0.822724,340,"Inappropriate ioctl for device (25) in search_env_and_open, MPIEXEC_STDIN_PORT=40531",an1,8,3828311,1,7,1
173754389,1148490061,an1,-,False,False,INFO,0.822653,14,session closed for user root,an1,8,3828311,1,7,2
173774849,1148494405,an1,-,False,False,INFO,0.82275,345,"Device: /dev/sda, Temperature changed 2 Celsius to 29 Celsius since last report",an1,8,3828311,1,7,3
173754391,1148490061,an1,-,False,False,INFO,0.822653,23,(root) CMD (run-parts /etc/cron.hourly),an1,8,3828311,1,7,4
172267250,1148335261,an1,-,False,False,INFO,0.815612,14,session closed for user root,an1,9,3827787,1,3,1
172290227,1148338861,an1,-,False,False,INFO,0.815721,14,session closed for user root,an1,9,3827787,1,3,2
172267251,1148335261,an1,-,False,False,INFO,0.815612,18,session opened for user root by (uid=0),an1,9,3827787,1,3,3
103122766,1143847471,an1001,-,False,False,INFO,0.488242,22,Got trap from peer on fd 13,an1001,1,3812833,1,6,1
103121443,1143847401,an1001,-,False,False,INFO,0.488236,21,Server Administrator: Instrumentation Service EventID: 1052 Temperature sensor returned to a normal value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: Non-Critical (Warning) Temperature sensor value (in Degrees Celsius): 11.0,an1001,1,3812833,1,6,2
103122765,1143847471,an1001,-,False,False,INFO,0.488242,21,Server Administrator: Instrumentation Service EventID: 1052 Temperature sensor returned to a normal value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: Non-Critical (Warning) Temperature sensor value (in Degrees Celsius): 11.0,an1001,1,3812833,1,6,3
103122144,1143847424,an1001,-,False,False,INFO,0.48824,39,Server Administrator: Instrumentation Service EventID: 1053 Temperature sensor detected a warning value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: OK (Normal) Temperature sensor value (in Degrees Celsius): 10.0,an1001,1,3812833,1,6,4
122079620,1144863911,an101,-,False,False,INFO,0.577995,341,"Inappropriate ioctl for device (25) in open_demux, open_demux: connect 10.100.19.127:53177",an101,8,3816212,1,12,1
122064328,1144861929,an101,-,False,False,INFO,0.577923,18,session opened for user root by (uid=0),an101,8,3816212,1,12,2
122084687,1144864861,an101,-,False,False,INFO,0.578019,18,session opened for user root by (uid=0),an101,8,3816212,1,12,3
122064329,1144861929,an101,-,False,False,INFO,0.577923,13,Accepted publickey for root from ::ffff:10.100.2.82 port 56882 ssh2,an101,8,3816212,1,12,4
122079515,1144863905,an101,-,False,False,INFO,0.577995,341,"Inappropriate ioctl for device (25) in open_demux, open_demux: connect 10.100.19.127:53177",an101,8,3816213,1,12,1
122084688,1144864861,an101,-,False,False,INFO,0.578019,23,(root) CMD (run-parts /etc/cron.hourly),an101,8,3816213,1,12,2
122080581,1144863917,an101,-,False,False,INFO,0.578,18,session opened for user root by (uid=0),an101,8,3816213,1,12,3
122064328,1144861929,an101,-,False,False,INFO,0.577923,18,session opened for user root by (uid=0),an101,8,3816213,1,12,4
154567983,1146955842,an1010,-,False,False,INFO,0.731814,345,"Device: /dev/sda, Temperature changed 2 Celsius to 26 Celsius since last report",an1010,1,3823186,1,2,1
154590210,1146959441,an1010,-,False,False,INFO,0.731919,345,"Device: /dev/sda, Temperature changed -2 Celsius to 24 Celsius since last report",an1010,1,3823186,1,2,2
51414847,1137679546,an1011,-,False,False,INFO,0.243427,18,session opened for user root by (uid=0),an1011,1,3792265,1,11,1
51415085,1137679549,an1011,-,False,False,INFO,0.243429,17,warning: many lost ticks.,an1011,1,3792265,1,11,2
51414848,1137679546,an1011,-,False,False,INFO,0.243427,13,Accepted publickey for root from ::ffff:10.100.6.250 port 55181 ssh2,an1011,1,3792265,1,11,3
51406854,1137677884,an1011,-,False,False,INFO,0.24339,26,can't open /var/lib/ntp/drift.TEMP: Read-only file system,an1011,1,3792265,1,11,4
50100231,1137493076,an1011,-,False,False,INFO,0.237203,28,Aborting journal on device sda6.,an1011,2,3791642,1,22,1
50100394,1137493131,an1011,-,False,False,INFO,0.237204,86,"k0H9Ipqg001102: 3: fl=0x2, mode=140777: SOCK localhost->[[UNIX: /dev/log]]",an1011,2,3791642,1,22,2
